Job Title,Job Link,Company,Location,Skills
Digital Product Manager,https://wuzzuf.net/jobs/p/n2iMrKoDvZge-Digital-Product-Manager-Nahdet-Misr-Publishing-Group-Giza-Egypt,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt ",Full TimeOn-siteManager · 2 - 4 Yrs of Exp · IT/Software Development · Operations/Management · Media/Journalism/Publishing · business · Computer Science · Project Management · Market Research · Management · Product · software
"Senior Full Stack Developer (.NET core , Angular 8+) Onsite",https://wuzzuf.net/jobs/p/nzx6WaZUVSRC-Senior-Full-Stack-Developer-NET-core-Angular-8-Onsite-Cairo-Egypt,Confidential -,"Nasr City, Cairo, Egypt ",Full TimeOn-siteExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Software Engineering · OOP · ASP.NET · C#.Net · ADO.NET · SQL
Mobile Application Coding Engineer,https://wuzzuf.net/jobs/p/SBoiNCq1qHzu-Mobile-Application-Coding-Engineer-Giza-Egypt,Confidential -,"6th of October, Giza, Egypt ",Freelance / ProjectRemoteExperienced · 3 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Development
Shopify Developer,https://wuzzuf.net/jobs/p/aeReyQHNDY5K-Shopify-Developer-ARTSY-SILVER-Giza-Egypt,ARTSY SILVER  -,"Sheikh Zayed, Giza, Egypt ",Full TimeOn-siteEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · CSS · Information Technology (IT) · SEO · Shopify · JavaScript · PHP · REST
Wordpress Developer with mobile application knowledge,https://wuzzuf.net/jobs/p/T5WpMGHaAwhJ-Wordpress-Developer-with-mobile-application-knowledge-ISIS-Travel-group-Giza-Egypt,ISIS Travel group -,"Dokki, Giza, Egypt ",Full TimePart TimeOn-siteExperienced · 2 - 3 Yrs of Exp · Creative/Design/Art · IT/Software Development · PHP · Full Stack · HTML5 · JavaScript · Information Technology (IT) · WordPress · Node.js · Development
Senior Mobile Developer - ReactNative,https://wuzzuf.net/jobs/p/z19uwojnhfck-senior-mobile-developer-reactnative-iken-technology-cairo-egypt,IKEN Technology -,"Maadi, Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Mobile Development · Android · Agile · iOS · Computer Science · React Native · APIs
Full Stack .Net Developer,https://wuzzuf.net/jobs/p/4px575nxsqpw-full-stack-net-developer-orient-egypt-giza-egypt,Orient Egypt -,"Dokki, Giza, Egypt ",Full TimeOn-siteExperienced · 5+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · .Net · Engineering · HTML5 · JavaScript · Software Development · Computer Science · ASP.Net
Solidity Developer,https://wuzzuf.net/jobs/p/tIsikFQ0ZZKv-Solidity-Developer-Cairo-Egypt,Confidential -,"New Cairo, Cairo, Egypt ",Full TimeHybridEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · architectural · Design · Computer Science · Information Technology (IT)
Senior Laravel PHP Developer,https://wuzzuf.net/jobs/p/VKaQlYbe73wn-Senior-Laravel-PHP-Developer-Giza-Egypt,Confidential -,"Dokki, Giza, Egypt ",Full TimeRemoteExperienced · 7 - 20 Yrs of Exp · IT/Software Development · PHP · Web Development · MVC · Laravel · APIs · Computer Science · CSS · HTML · Information Technology (IT)
Senior Full Stack Developer (Laravel - Vue.js),https://wuzzuf.net/jobs/p/hBHl2jOQNZza-Senior-Full-Stack-Developer-Laravel---Vuejs-Seoudi-Supermarket-Giza-Egypt,Seoudi Supermarket -,"Sheikh Zayed, Giza, Egypt ",Full TimeHybridExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · MySQL · Computer Science · CSS3 · Full Stack · Git · HTML5 · Information Technology (IT) · React
Workforce and Resources Planning Lead (Contact Center),https://wuzzuf.net/jobs/p/SqJ66ciyc065-Workforce-and-Resources-Planning-Lead-Contact-Center-Seoudi-Supermarket-Giza-Egypt,Seoudi Supermarket -,"Sheikh Zayed, Giza, Egypt ",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Customer Service/Support · Operations/Management · Analyst/Research · Workforce Planning · Planning · Resources Planning
Full Stack Java Developer,https://wuzzuf.net/jobs/p/g/4cnu65iccao1-full-stack-java-developer-emdad-al-khebrat-riyadh-saudi-arabia,Emdad Al Khebrat -,"Riyadh, Saudi Arabia ",Full TimeEntry Level · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · javaScript · CSS · HTML · Full Stack
Software Engineer (Frontend),https://wuzzuf.net/jobs/p/hwbFzaSRhohM-Software-Engineer-Frontend-Itechs-Group-Cairo-Egypt,Itechs Group -,"Nasr City, Cairo, Egypt ",Part TimeRemoteExperienced · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · CSS3 · Git · HTML5 · JavaScript · Redux · RESTful · Information Technology (IT) · Software Engineering
Guest Experience Expert (Arabic Speaker),https://wuzzuf.net/jobs/p/g/vpkjecc6hkrf-guest-experience-expert-arabic-speaker-marriott-international-dubai-united-arab-emirates,Marriott International -,"Dubai, United Arab Emirates ",Full TimeEntry Level · Customer Service/Support · Customer Care · Customer Service · Customer Support · Call Center · Microsoft Office · Data Entry · Typing · Customer Experience · SOP
Full Stack Net Developer,https://wuzzuf.net/jobs/p/g/6z7gldkvksik-full-stack-net-developer-emdad-al-khebrat-riyadh-saudi-arabia,Emdad Al Khebrat -,"Riyadh, Saudi Arabia ",Full TimeEntry Level · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · javaScript · CSS · HTML · Full Stack
Barista (Only Saudis),https://wuzzuf.net/jobs/p/g/mby3xkcwuril-barista-only-saudis-kempinski-hotels-riyadh-saudi-arabia,Kempinski Hotels -,"Riyadh, Saudi Arabia ",Full TimeEntry Level · Hospitality/Hotels/Food Services · Operations/Management · Sales/Retail · Hospitality · Customer Service · Food Services · Hotel · barista · waiter
"Assistant Manager, New Product Development",https://wuzzuf.net/jobs/p/g/bunsgvw6yw97-assistant-manager-new-product-development-huda-beauty-dubai-united-arab-emirates,Huda Beauty -,"Dubai, United Arab Emirates ",Full TimeEntry Level · Business Development · Marketing/PR/Advertising · Pharmaceutical · Business Development · Marketing · Sales · Cosmetics · Market Research · Microsoft Office · Pharmaceutical
Software Engineer (Ruby / Ruby on Rails),https://wuzzuf.net/jobs/p/g/zsclebxb8cew-software-engineer-ruby-ruby-on-rails-leapstrides-consulting-dubai-united-arab-emirates,Leapstrides Consulting -,"Dubai, United Arab Emirates ",Full TimeEntry Level · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Engineering · Computer Engineering · Software
